"doc_id","text"
11,"Aim Design Methods Results Conclusions Impact Reporting method Patient or public contribution This study explores the potential of a generative artificial intelligence tool (ChatGPT) as clinical support for nurses. Specifically, we aim to assess whether ChatGPT can demonstrate clinical decision‐making equivalent to that of expert nurses and novice nursing students. This will be evaluated by comparing ChatGPT responses to clinical scenarios to those of nurses on different levels of experience.This is a cross‐sectional study.Emergency room registered nurses (i.e. experts; n = 30) and nursing students (i.e. novices; n = 38) were recruited during March–April 2023. Clinical decision‐making was measured using three validated clinical scenarios involving an initial assessment and reevaluation. Clinical decision‐making aspects assessed were the accuracy of initial assessments, the appropriateness of recommended tests and resource use and the capacity to reevaluate decisions. Performance was also compared by timing response generations and word counts. Expert nurses and novice students completed online questionnaires (via Qualtrics), while ChatGPT responses were obtained from OpenAI.Concerning aspects of clinical decision‐making and compared to novices and experts: (1) ChatGPT exhibited indecisiveness in initial assessments; (2) ChatGPT tended to suggest unnecessary diagnostic tests; (3) When new information required re‐evaluation, ChatGPT responses demonstrated inaccurate understanding and inappropriate modifications. In terms of performance, the mean number of words utilized in ChatGPT answers was 27–41 times greater than that utilized by both experts and novices; and responses were provided approximately 4 times faster than those of novices and twice faster than expert nurses. ChatGPT responses maintained logical structure and clarity.A generative AI tool demonstrated indecisiveness and a tendency towards over‐triage compared to human clinicians.The study shows that it is important to approach the implementation of ChatGPT as a nurse's digital assistant with caution. More study is needed to optimize the model's training and algorithms to provide accurate healthcare support that aids clinical decision‐making.This study adhered to relevant EQUATOR guidelines for reporting observational studies.Patients were not directly involved in the conduct of this study."
12,"AbstractThe integration of Artificial Intelligence (AI) in higher education has the power to revolutionize the learning experience by fostering engagement, personalization, efficiency, and innovation. AI offers a wide range of exciting possibilities where AI-powered tools enable students to receive tailored feedback and guidance, enabling them to learn at their own pace and excel academically. This research aims to investigate the effects of generative AI techniques and applications on students’ cognitive achievement through student behavior. Data was collected through surveys in three Arab countries including Oman, Jordan and Yemen. 768 students from these Arab country’s universities were participated in completing surveys randomly. Structure Equation Modeling SEM-PLS was adopted to analysis data. Results reveal that generative AI techniques and applications have positive and significant effects on students’ cognitive achievement in Arab higher education institutions. Results also reveal that student behavior enhances the relationship among AI techniques, applications and cognitive achievement. These results highlight the crucial role of AI applications among students in higher education while the integration of this emerging technology is still at the first stage, students’ interaction with and utility of these applications show high satisfactory level of their impact on students’ behavior and cognitive achievement. This research contributes to literature of generative AI applications giving evidence from Arab region and filling the gap regarding usage of these applications in higher education."
13,"In the year since ChatGPT was released by OpenAI, librarians, instructors, and higher education administrators have grappled with generative artificial intelligence (AI) and its implications for teaching, learning, research, and writing. Drawn from informal conversations, professional observations, discussion groups, and professional development events, this article reports on the experience of learning about generative AI at one university. This article considers ways that educators may use AI tools and reasons to resist adopting generative AI tools, situating uses on a spectrum of acceptability."
14,"AbstractThis article presents an extensive Generative AI Technology Adoption Model intended to elucidate the complex process that entrepreneurs and other innovation ecosystem actors, for instance, libraries, go through for its adoption. The model suggests that the adoption process happens in three stages: <italic>Pre-Perception & Perception, Assessment, and Outcome</italic>. During the Pre-Perception & Perception Phase, entrepreneurs initiate their technology exploration by navigating social factors, domain experience, technological familiarity, system quality, training and support, interaction convenience, and anthropomorphism; with utilitarian value and hedonic values playing an important role. As they transition to the Assessment Stage, perceived usefulness, ease of use, and a novel addition, perceived enjoyment, shape their evaluations, leading to generations of emotions toward it, with utilitarian value overweighting hedonic values. The model finishes with the Outcome Stage, where emotions developed in the Assessment Stage become tangible intentions to switch (<italic>use technology or switch to human services</italic>). The adoption model highlights the adoption factors (<italic>also called latent variables)</italic> and their relationships grounded on researcher’s professional experiences and need to be further empirically validated. Entrepreneurial implications highlight the strategic insights of the model, providing a decision-making roadmap and highlighting the interaction between utilitarian and hedonistic values. Entrepreneurs can create well-informed technological integrations that are in line with business objectives by using the incremental decision-making process. The model’s focus on comparative evaluations gives entrepreneurs the ability to strategically map the usability of technology for the best possible commercial results. The Generative AI Technology Adoption Model offers a nuanced understanding of entrepreneurs’ technology adoption processes, which is also applicable to other actors in the innovation ecosystem."
15,"Generative AI systems designed to produce text do so by drawing on inferences made from training data, which may mean they reproduce factual errors or biases contained in that data. This process is illustrated by querying ChatGPT with questions from a history of mathematics quiz designed to highlight the common occurrence of mathematical results being misattributed. ChatGPT's performance on a set of decades-old common misconceptions is mixed, illustrating the potential for these systems to reproduce and reinforce historical inaccuracies and misconceptions."
16,"AbstractWith the rapid evolution of artificial intelligence (AI), this study aims to examine the interplay among the perceived usability, perceived enjoyment, perceived responsiveness, and intention to continue using ChatGPT. Structural equation modeling (SEM) was used to investigate our proposed model. We recruited 446 ChatGPT users through an online survey conducted on the Connect platform, powered by CloudResearch. Perceived usability (<italic>β</italic> = 0.254) and enjoyment (<italic>β</italic> = 0.438) significantly influence satisfaction with ChatGPT. However, perceived responsiveness is not significantly related to perceived attachment or satisfaction. Furthermore, we established that perceived attachment (<italic>β</italic> = 0.405) and satisfaction (<italic>β</italic> = 0.447) are pivotal in shaping users’ intentions to continue using ChatGPT, providing insights into human–AI interactions. The practical implications of our findings suggest that generative AI chatbots should be crafted with a focus on enjoyable, user-centered interfaces that foster long-term user satisfaction and engagement. AI developers should design AI conversation flows and chatbot personas to optimize the user experience."
17,"The article examines how generative artificial intelligence (AI) disrupts copyright law, challenging traditional concepts of authorship and expression. It is reported that with machine authors generating content, the legal status of AI-created works is uncertain, marking a transformative moment in artistic production. It explores the evolving landscape of copyright in the era of computational art."
18,"Large language models are fundamental technologies used in interfaces like ChatGPT and are poised to change the way people access and make sense of health information. The speed of uptake and investment suggests that these will be transformative technologies, but it is not yet clear what the implications might be for health communications. In this viewpoint, we draw on research about the adoption of new information technologies to focus on the ways that generative artificial intelligence (AI) tools like large language models might change how health information is produced, what health information people see, how marketing and misinformation might be mixed with evidence, and what people trust. We conclude that transparency and explainability in this space must be carefully considered to avoid unanticipated consequences."
19,"This study investigated the impact of ChatGPT's recommendation quality and ethical concerns on travelers' acceptance, satisfaction, and perceived trustworthiness. Results showed that when quality and ethical concerns were prominent, acceptance of and satisfaction with ChatGPT's recommendations decreased significantly, and the negative effects were mediated by perceived trustworthiness. This study also identified that message framing containing ChatGPT's errors, and the information types delivered by ChatGPT, acted as moderators of the positive effect of its recommendations. These findings underscore the significance of addressing ethical and quality concerns in using AI (Artificial intelligence)-powered chatbots, with implications for AI acceptance and satisfaction."
20,"This study explores the impact of Generative AI tools on researchers and research in the context of higher education in Saudi Arabia. An online survey questionnaire was used to collect data on higher education students’ perspectives (N = 505). The findings indicate that participants hold positive attitudes and possess a high level of awareness regarding GenAI in research. They recognise the potential of these tools to revolutionise academic research. Participants report highly beneficial experiences using GenAI tools to expand project scope and improve efficiency. Additionally, participants expressed optimism about the future role of GenAI tools, expecting them to become more prevalent and transform the research landscape. However, participants emphasised the importance of adequate training, support, and guidance in using GenAI tools. Ethical considerations emerged as a significant concern, highlighting the participants’ commitment to responsible research practices and the need for transparency and addressing potential biases associated with these tools."
21,"Since the release of ChatGPT for public use in November 2022, the academic world has been debating the use and merits of generative artificial intelligence (AI) in academia and academic libraries. Is ChatGPT something that librarians should adopt, or should they shun the new technology altogether? The following articles examine the possibilities of using generative AI and ChatGPT in academic libraries. Overall, the authors see positive applications for the technologies in libraries and encourage librarians to study and learn the implications of using generative AI models in academic library services."
22,"Generative artificial intelligence (AI) has the potential to transform many aspects of scholarly publishing. Authors, peer reviewers, and editors might use AI in a variety of ways, and those uses might augment their existing work or might instead be intended to replace it. We are editors of bioethics and humanities journals who have been contemplating the implications of this ongoing transformation. We believe that generative AI may pose a threat to the goals that animate our work but could also be valuable for achieving those goals. In the interests of fostering a wider conversation about how generative AI may be used, we have developed a preliminary set of recommendations for its use in scholarly publishing. We hope that the recommendations and rationales set out here will help the scholarly community navigate toward a deeper understanding of the strengths, limits, and challenges of AI for responsible scholarly work."
23,"Generative artificial intelligence (AI) has the potential to transform many aspects of scholarly publishing. Authors, peer reviewers, and editors might use AI in a variety of ways, and those uses might augment their existing work or might instead be intended to replace it. We are editors of bioethics and humanities journals who have been contemplating the implications of this ongoing transformation. We believe that generative AI may pose a threat to the goals that animate our work but could also be valuable for achieving those goals. In the interests of fostering a wider conversation about how generative AI may be used, we have developed a preliminary set of recommendations for its use in scholarly publishing. We hope that the recommendations and rationales set out here will help the scholarly community navigate toward a deeper understanding of the strengths, limits, and challenges of AI for responsible scholarly work."
24,"The article focuses on the impact of generative AI on library workflows and operations, with insights from conversations with librarians about its use and implications. Topics include the potential opportunities of generative AI in libraries, concerns related to the accuracy and reliability of AI-generated content, and its role in tasks such as systematic reviews and information retrieval, highlighting the need for critical evaluation of AI-generated materials."
25,"The conventional approach to achieve desired effective thermal conductivity (ETC) of porous thermal interface materials (TIM) is processing-microstructure-properties forward analysis, which contains various trial-and-error cycles and is hence inefficient for materials development. Establishing the linkage from ETC to microstructure is essential; however, the recently developed methods including microstructure characterization and reconstruction are suffering from limited accuracy and computational efficiency. To address these problem, in this paper, generative artificial intelligence (AI) model was first implemented to design microstructure of porous TIM with desired ETC. Here, we introduced a representative porous TIM, sintered silver, and a typical kind of generative AI model, conditional generative adversarial network (CGAN), as an example for illustration. The CGAN model can efficiently generate sharp and crisp microstructures of sintered Ag with excellent morphology realism. Besides visual inspection, the ETC values of generated microstructures were evaluated by convolution neural network (CNN) model. It was found that the CGAN model also exhibits satisfactory performance in physical meaning, since the determination coefficient R2 between target ETC and CNN predicted ETC values is 0.985. These results confirm the effectiveness of generative AI model capable of synthesizing microstructure of porous TIM with desired ETC, and not limited to porous TIM, the approaches present here can also be generalized and applicable to design microstructure of other porous media and composites."
26,"The integration of generative artificial intelligence (AI) into academic research writing has revolutionized the field, offering powerful tools like ChatGPT and Bard to aid researchers in content generation and idea enhancement. We explore the current state of transparency regarding generative AI use in nursing academic research journals, emphasizing the need for explicitly declaring the use of generative AI by authors in the manuscript. Out of 125 nursing studies journals, 37.6% required explicit statements about generative AI use in their authors' guidelines. No significant differences in impact factors or journal categories were found between journals with and without such requirement. A similar evaluation of medicine, general and internal journals showed a lower percentage (14.5%) including the information about generative AI usage. Declaring generative AI tool usage is crucial for maintaining the transparency and credibility in academic writing. Additionally, extending the requirement for AI usage declarations to journal reviewers can enhance the quality of peer review and combat predatory journals in the academic publishing landscape. Our study highlights the need for active participation from nursing researchers in discussions surrounding standardization of generative AI declaration in academic research writing."
27,"Chatbots are now able to engage in sophisticated conversations with consumers. Due to the “black box” nature of the algorithms, it is impossible to predict in advance how these conversations will unfold. Behavioral research provides little insight into potential safety issues emerging from the current rapid deployment of this technology at scale. We begin to address this urgent question by focusing on the context of mental health and “companion AI”: Applications designed to provide consumers with synthetic interaction partners. Studies 1a and 1b present field evidence: Actual consumer interactions with two different companion AIs. Study 2 reports an extensive performance test of several commercially available companion AIs. Study 3 is an experiment testing consumer reaction to risky and unhelpful chatbot responses. The findings show that (1) mental health crises are apparent in a nonnegligible minority of conversations with users; (2) companion AIs are often unable to recognize, and respond appropriately to, signs of distress; and (3) consumers display negative reactions to unhelpful and risky chatbot responses, highlighting emerging reputational risks for generative AI companies."
28,"This study delves into the implications of incorporating AI tools, specifically ChatGPT, in higher education contexts. With a primary focus on understanding the acceptance and utilization of ChatGPT among university students, the research utilizes the Unified Theory of Acceptance and Use of Technology (UTAUT) as the guiding framework. The investigation probes into four crucial constructs of UTAUT—performance expectancy, effort expectancy, social influence and facilitating conditions—to understand their impact on the intent and actual use behaviour of students. The study relies on data collected from six universities in two countries and assessed through descriptive statistics and structural equation modelling techniques, and also takes into account participants' gender and study level. The key findings show that performance expectancy, effort expectancy, and social influence significantly influence behavioural intention. Furthermore, behavioural intention, when considered alongside facilitating conditions, influences actual use behaviour. This research also explores the moderating impact of gender and study level on the relationships among these variables. The results not only augment our comprehension of technology acceptance in the context of AI tools but also provide valuable input for formulating strategies that promote effective incorporation of ChatGPT in higher education. The study underscores the need for effective awareness initiatives, bespoke training programmes, and intuitive tool designs to bolster students' perceptions and foster the wider adoption of AI tools in education.Practitioner notesWhat is already known about this topic ChatGPT is a tool that is quickly gaining worldwide recognition. ChatGPT helps with writing essays and solving assignments. ChatGPT raises ethical concerns about authorship, plagiarism and ethics. What this paper adds This study explores students' acceptance of ChatGPT as an aid in their education, which has not been studied previously. We used the extended Unified Technology Acceptance and Use of Technology theory to test what factors mostly influence the use of ChatGPT by students. We conducted a multiple study in Poland and Egypt based on sampling strategy from six universities. Implications for practice and/or policy ChatGPT is a global game changer and should be incorporated into study programmes. The limitations of ChatGPT should be well explained and known since it is prone to making mistakes. Higher education teachers should be aware of ChatGPT's capabilities. ChatGPT is a tool that is quickly gaining worldwide recognition. ChatGPT helps with writing essays and solving assignments. ChatGPT raises ethical concerns about authorship, plagiarism and ethics. This study explores students' acceptance of ChatGPT as an aid in their education, which has not been studied previously. We used the extended Unified Technology Acceptance and Use of Technology theory to test what factors mostly influence the use of ChatGPT by students. We conducted a multiple study in Poland and Egypt based on sampling strategy from six universities. ChatGPT is a global game changer and should be incorporated into study programmes. The limitations of ChatGPT should be well explained and known since it is prone to making mistakes. Higher education teachers should be aware of ChatGPT's capabilities."
29,"As perhaps the most consequential technology of our time, Generative Foundation Models (GFMs) present unprecedented challenges for democratic institutions. By allowing deception and de-contextualized information sharing at a previously unimaginable scale and pace, GFMs could undermine the foundations of democracy. At the same time, the investment scale required to develop the models and the race dynamics around that development threaten to enable concentrations of democratically unaccountable power (both public and private). This essay examines the twin threats of collapse and singularity occasioned by the rise of GFMs."
30,"Until now, the mass spread of fake news and its negative consequences have implied mainly textual content towards a loss of citizens' trust in institutions. Recently, a new type of machine learning framework has arisen, Generative Adversarial Networks(GANs) – a class of deep neural network models capable of creating multimedia content (photos, videos, audio) that simulate accurate content with extreme precision. While there are several areas of worthwhile application of GANs – e.g., in the field of audio-visual production, human-computer interactions, satire, and artistic creativity – their deceptive uses, at least as currently foreseeable, are just as numerous and worrying. The main concern is linked to the so-called “deepfakes”, fake images or videos that simulate real events with extreme precision. When trained on a human face, GANs can make the face assume hyper-realistic movements, expressions and (verbal and non-verbal) communication abilities. This technology poses an urgent threat to the governance of democratic processes concerning the production of public opinions and political discourses, with significant potential for reality-altering and disinformation. After a short introduction of their current technical state-of-the-art, in this paper, we want to enquire about the GANs` socio-technical system alongside different and intertwined philosophical accounts. Firstly, we will argue about the conditions that make perceived GANs-generated content trustworthy, arguing also about the general effects GANs might have on the perceived trustworthiness of individuals. Thereafter, we will discuss about the inadequacy to approach GANs only as perception-altering technology. Against this backdrop, we will propose a theoretical turn that considers the human-machine relationships of trustworthiness as elements of broader hybrid socio-technical systems. This turn comes up with political repercussions that we will discuss in the last part of the paper."
31,"Humans often display a truth-bias —the perception that others are honest independent of message veracity—but does this phenomenon extend to generative artificial intelligence (AI)? We had humans and large language models make nearly 1,000 veracity judgments across different prompts. Human detection accuracies were near chance (50%–53%) with notable truth-biases (59%–64%); AI had a substantially greater truth-bias than humans (67%–99%). GPT-4 was also truth-default, not suspecting deception when veracity assessments were unprompted. Together, people and AI judge most information to be true."
32,"Generative AI, a new technology, is gaining popularity and raising questions about its future impact. One major concern is bias, as AI models trained on real-world data often encode and reinforce biases related to gender and race. Copyright issues have also arisen, with artists and writers suing tech companies for alleged infringement. The impact on jobs is a topic of discussion, with concerns that white-collar workers may be at risk. However, some argue that AI can enhance job performance. Generative AI has the potential to revolutionize image and video production, but there are concerns about inequality and misinformation. The misuse of generative models for creating fake text and images is a growing concern, as is the environmental impact of development costs. The debate surrounding the risks and benefits of AI will continue, with calls to address issues such as bias, job displacement, and misinformation."
33,"This document is a revised set of recommendations from the World Association of Medical Editors (WAME) regarding the use of chatbots and generative artificial intelligence (AI) in scholarly publications. The recommendations aim to inform editors, authors, and reviewers about the use of chatbots in papers and address concerns about authenticity, plagiarism, and biases in chatbot-generated content. The document emphasizes the need for transparency, proper attribution of sources, and the responsibility of authors and editors in ensuring the accuracy and integrity of chatbot-generated material. It also highlights the importance of providing editors with appropriate tools to detect AI-generated content."
34,"The article discusses the transformative potential of generative AI in clinical trial design, emphasizing its application in data management and the creation of high-quality datasets to inform trial simulations. Topics include data privacy concerns, the importance of data quality, and the need for robust AI approaches to ensure reliable outputs in clinical trial operations."
35,"The metaverse has been discussed in fields such as medicine, manufacturing, finance, education, and public services, but the application scenarios based on virtual reality have not truly achieved the ""real-virtual-real"" loop interaction method. Its interaction mode has also not truly given the digital world the same consciousness and perception as the physical world. Taking medicine as a case study, the prospective applications and challenges of generative artificial intelligence models in metaverse organisms were explored, including digitizing biological cells, and building connections between digitized cells and digital neurons, in order to promote metaverse life forms to have perception and biochemical reactions consistent with the physical world, thereby empowering the development of the medical field. In response to the current advantages and disadvantages of the metaverse and generative artificial intelligence models, the clever design of human-machine collaboration mechanisms was discussed to promote conscious interaction between humans and metaverse organisms in medicine."
36,"Medical imaging is playing an important role in diagnosis and treatment of diseases. Generative artificial intelligence (AI) have shown great potential in enhancing medical imaging tasks such as data augmentation, image synthesis, image-to-image translation, and radiology report generation. This commentary aims to provide an overview of generative AI in medical imaging, discussing applications, challenges, and ethical considerations, while highlighting future research directions in this rapidly evolving field."
37,"Background: The spread of artificial intelligence (AI) has led to transformative advancements in diverse sectors, including healthcare. Specifically, generative writing systems have shown potential in various applications, but their effectiveness in clinical settings has been barely investigated. In this context, we evaluated the proficiency of ChatGPT-4 in diagnosing gonarthrosis and coxarthrosis and recommending appropriate treatments compared with orthopaedic specialists. Methods: A retrospective review was conducted using anonymized medical records of 100 patients previously diagnosed with either knee or hip arthrosis. ChatGPT-4 was employed to analyse these historical records, formulating both a diagnosis and potential treatment suggestions. Subsequently, a comparative analysis was conducted to assess the concordance between the AI's conclusions and the original clinical decisions made by the physicians. Results: In diagnostic evaluations, ChatGPT-4 consistently aligned with the conclusions previously drawn by physicians. In terms of treatment recommendations, there was an 83% agreement between the AI and orthopaedic specialists. The therapeutic concordance was verified by the calculation of a Cohen's Kappa coefficient of 0.580 (p < 0.001). This indicates a moderate-to-good level of agreement. In recommendations pertaining to surgical treatment, the AI demonstrated a sensitivity and specificity of 78% and 80%, respectively. Multivariable logistic regression demonstrated that the variables reduced quality of life (OR 49.97, p < 0.001) and start-up pain (OR 12.54, p = 0.028) have an influence on ChatGPT-4's recommendation for a surgery. Conclusion: This study emphasises ChatGPT-4's notable potential in diagnosing conditions such as gonarthrosis and coxarthrosis and in aligning its treatment recommendations with those of orthopaedic specialists. However, it is crucial to acknowledge that AI tools such as ChatGPT-4 are not meant to replace the nuanced expertise and clinical judgment of seasoned orthopaedic surgeons, particularly in complex decision-making scenarios regarding treatment indications. Due to the exploratory nature of the study, further research with larger patient populations and more complex diagnoses is necessary to validate the findings and explore the broader potential of AI in healthcare. Level of Evidence: Level III evidence."
38,"The authors comments on an article by I. G. Cohen on ChatGPT's ethical implications for medical artificial intelligence (AI). Topics discussed include ChatGPT's general design as raising unique issues, key values and constant ethical concerns, and some of the least discussed but crucial values identified in the article."
39,"The article examines the role of ChatGPT and generative artificial intelligence (GenAI) in helping to revitalize bioethics by foregrounding epistemic justice. Topics include reasons why GenAI's clinical use is a big deal in bioethics, the problem of exclusivity in power and privilege and way epistemic justice lends support to understanding in bioethics."
40,"The article examines whether one should understand a fine-tuned large language model (LLM) trained on one's own past writings as a form of academic enhancement of oneself. Topics discussed include reason that current LLMs are sometimes called hallucinating bullshitters, the concept AUTOGEN-LLMs, and argument of David Chalmers, one of the two main characters behind the extended mind thesis, on LLMs."
